# 8d31d9c8-78d9-4a38-9434-7289fd795704
# Generated from siccs_first_floor_1.csv
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-3.3500000;5.6000000;-1.5707963;0.0000000;5.0000000;0.0000000
0.0500000;-3.3500000;5.5500000;-1.5707963;0.0000000;5.0000000;0.0000000
0.1000000;-3.3500000;5.5000000;-1.5707963;0.0000000;5.0000000;0.0000000
0.1500000;-3.3500000;5.4500000;-1.5707963;0.0000000;5.0000000;0.0000000
0.2000000;-3.3500000;5.4000000;-1.5707963;-0.0000000;5.0000000;0.0000000
0.2500000;-3.3500000;5.3500000;-1.5707963;-0.0000000;5.0000000;0.0000000
0.3000000;-3.3500000;5.3000000;-1.5707963;0.0000000;5.0000000;0.0000000
0.3500000;-3.3500000;5.2500000;-1.5707963;0.0000000;5.0000000;0.0000000
0.4000000;-3.3500000;5.2000000;-1.5707963;3.2175055;5.0000000;0.0000000
0.4500000;-3.3500000;5.1500000;-1.2490458;3.7695422;5.0000000;0.0000000
0.5207107;-3.3000000;5.1000000;-1.2490458;-3.7695422;5.0000000;0.0000000
0.5707107;-3.3000000;5.0500000;-1.5707963;-3.2175055;5.0000000;0.0000000
0.6207107;-3.3000000;5.0000000;-1.5707963;0.0000000;5.0000000;0.0000000
0.6707107;-3.3000000;4.9500000;-1.5707963;3.2175055;5.0000000;0.0000000
0.7207107;-3.3000000;4.9000000;-1.2490458;3.7695422;5.0000000;0.0000000
0.7914214;-3.2500000;4.8500000;-1.2490458;-3.7695422;5.0000000;0.0000000
0.8414214;-3.2500000;4.8000000;-1.5707963;0.0000000;5.0000000;0.0000000
0.8914214;-3.2500000;4.7500000;-1.2490458;3.7695422;5.0000000;0.0000000
0.9621320;-3.2000000;4.7000000;-1.2490458;-3.7695422;5.0000000;0.0000000
1.0121320;-3.2000000;4.6500000;-1.5707963;-0.0000000;5.0000000;0.0000000
1.0621320;-3.2000000;4.6000000;-1.2490458;3.7695422;5.0000000;0.0000000
1.1328427;-3.1500000;4.5500000;-1.2490458;-3.7695422;5.0000000;0.0000000
1.1828427;-3.1500000;4.5000000;-1.5707963;0.0000000;5.0000000;0.0000000
1.2328427;-3.1500000;4.4500000;-1.2490458;3.7695422;5.0000000;0.0000000
1.3035534;-3.1000000;4.4000000;-1.2490458;-3.7695422;5.0000000;0.0000000
1.3535534;-3.1000000;4.3500000;-1.5707963;0.0000000;5.0000000;0.0000000
1.4035534;-3.1000000;4.3000000;-1.2490458;3.7695422;5.0000000;0.0000000
1.4742641;-3.0500000;4.2500000;-1.2490458;-3.7695422;5.0000000;0.0000000
1.5242641;-3.0500000;4.2000000;-1.5707963;-3.2175055;5.0000000;0.0000000
1.5742641;-3.0500000;4.1500000;-1.5707963;0.0000000;5.0000000;0.0000000
1.6242641;-3.0500000;4.1000000;-1.5707963;0.0000000;5.0000000;0.0000000
1.6742641;-3.0500000;4.0500000;-1.5707963;0.0000000;5.0000000;0.0000000
1.7242641;-3.0500000;4.0000000;-1.5707963;0.0000000;5.0000000;0.0000000
1.7742641;-3.0500000;3.9500000;-1.5707963;0.0000000;5.0000000;0.0000000
1.8242641;-3.0500000;3.9000000;-1.5707963;0.0000000;5.0000000;0.0000000
1.8742641;-3.0500000;3.8500000;-1.5707963;0.0000000;5.0000000;0.0000000
1.9242641;-3.0500000;3.8000000;-1.5707963;-0.0000000;5.0000000;0.0000000
1.9742641;-3.0500000;3.7500000;-1.5707963;-0.0000000;5.0000000;0.0000000
2.0242641;-3.0500000;3.7000000;-1.5707963;0.0000000;5.0000000;0.0000000
2.0742641;-3.0500000;3.6500000;-1.5707963;0.0000000;5.0000000;0.0000000
2.1242641;-3.0500000;3.6000000;-1.5707963;0.0000000;5.0000000;0.0000000
2.1742641;-3.0500000;3.5500000;-1.5707963;0.0000000;5.0000000;0.0000000
2.2242641;-3.0500000;3.5000000;-1.5707963;0.0000000;5.0000000;0.0000000
2.2742641;-3.0500000;3.4500000;-1.5707963;0.0000000;5.0000000;0.0000000
2.3242641;-3.0500000;3.4000000;-1.5707963;0.0000000;5.0000000;0.0000000
